video_id,category_1,category_2,rank,task_id,video_path,download_status,feature_path,feature_exists,label
I_bOhb4II_Y,Hobbies and Crafts,Crafts,164,57768,/content/drive/MyDrive/lab2_howto100m/videos/vid_I_bOhb4II_Y.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_I_bOhb4II_Y.npy,True,0
N_zYXeZCc2w,Hobbies and Crafts,Crafts,18,63139,/content/drive/MyDrive/lab2_howto100m/videos/vid_N_zYXeZCc2w.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_N_zYXeZCc2w.npy,True,0
_2tdS9zY7wY,Hobbies and Crafts,Crafts,36,46579,/content/drive/MyDrive/lab2_howto100m/videos/vid__2tdS9zY7wY.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid__2tdS9zY7wY.npy,True,0
wLUHrvByfck,Hobbies and Crafts,Crafts,110,104661,/content/drive/MyDrive/lab2_howto100m/videos/vid_wLUHrvByfck.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_wLUHrvByfck.npy,True,0
Eicq-yvJNYE,Hobbies and Crafts,Crafts,15,93260,/content/drive/MyDrive/lab2_howto100m/videos/vid_Eicq-yvJNYE.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_Eicq-yvJNYE.npy,True,0
DRYRRsjwK3M,Hobbies and Crafts,Crafts,86,119412,/content/drive/MyDrive/lab2_howto100m/videos/vid_DRYRRsjwK3M.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_DRYRRsjwK3M.npy,True,0
aitILhugghg,Hobbies and Crafts,Crafts,125,113049,/content/drive/MyDrive/lab2_howto100m/videos/vid_aitILhugghg.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_aitILhugghg.npy,True,0
V8W2aSIJDx4,Hobbies and Crafts,Crafts,18,44943,/content/drive/MyDrive/lab2_howto100m/videos/vid_V8W2aSIJDx4.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_V8W2aSIJDx4.npy,True,0
L-ZsRgcYdcY,Hobbies and Crafts,Crafts,9,92812,/content/drive/MyDrive/lab2_howto100m/videos/vid_L-ZsRgcYdcY.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_L-ZsRgcYdcY.npy,True,0
43o25wCnGSw,Hobbies and Crafts,Crafts,181,95902,/content/drive/MyDrive/lab2_howto100m/videos/vid_43o25wCnGSw.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_43o25wCnGSw.npy,True,0
PkYYwqyyXdQ,Hobbies and Crafts,Crafts,192,7699,/content/drive/MyDrive/lab2_howto100m/videos/vid_PkYYwqyyXdQ.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_PkYYwqyyXdQ.npy,True,0
a9BducciQYM,Hobbies and Crafts,Crafts,108,10101,/content/drive/MyDrive/lab2_howto100m/videos/vid_a9BducciQYM.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_a9BducciQYM.npy,True,0
BrjvDbPGJW8,Hobbies and Crafts,Crafts,24,96258,/content/drive/MyDrive/lab2_howto100m/videos/vid_BrjvDbPGJW8.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_BrjvDbPGJW8.npy,True,0
WevTVyPeobQ,Hobbies and Crafts,Crafts,80,57783,/content/drive/MyDrive/lab2_howto100m/videos/vid_WevTVyPeobQ.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_WevTVyPeobQ.npy,True,0
jtUBMNoUawA,Hobbies and Crafts,Crafts,119,92817,/content/drive/MyDrive/lab2_howto100m/videos/vid_jtUBMNoUawA.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_jtUBMNoUawA.npy,True,0
DttfAYeS3C0,Hobbies and Crafts,Crafts,7,38111,/content/drive/MyDrive/lab2_howto100m/videos/vid_DttfAYeS3C0.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_DttfAYeS3C0.npy,True,0
KqhWhRLrjw0,Hobbies and Crafts,Crafts,84,93279,/content/drive/MyDrive/lab2_howto100m/videos/vid_KqhWhRLrjw0.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_KqhWhRLrjw0.npy,True,0
9Jvnf5UQfeU,Hobbies and Crafts,Crafts,137,16790,/content/drive/MyDrive/lab2_howto100m/videos/vid_9Jvnf5UQfeU.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_9Jvnf5UQfeU.npy,True,0
fXZTDI8WyqI,Hobbies and Crafts,Crafts,142,7107,/content/drive/MyDrive/lab2_howto100m/videos/vid_fXZTDI8WyqI.mp4,already_exists,/content/drive/MyDrive/lab2_howto100m/videoprism_features/vid_fXZTDI8WyqI.npy,True,0
